"Year","replacecolumns","from","to"
1998,"label_cause","197","ncd_lri"
1990,"label_cause","198","ncd_lri"
1991,"label_cause","198","ncd_lri"
1992,"label_cause","198","ncd_lri"
1993,"label_cause","198","ncd_lri"
1994,"label_cause","198","ncd_lri"
1995,"label_cause","198","ncd_lri"
1996,"label_cause","198","ncd_lri"
1997,"label_cause","198","ncd_lri"
1998,"label_cause","198","ncd_lri"
1990,"label_cause","199","ncd_lri"
1991,"label_cause","199","ncd_lri"
1992,"label_cause","199","ncd_lri"
1993,"label_cause","199","ncd_lri"
1994,"label_cause","199","ncd_lri"
1995,"label_cause","199","ncd_lri"
1996,"label_cause","199","ncd_lri"
1997,"label_cause","199","ncd_lri"
1998,"label_cause","199","ncd_lri"
1990,"label_cause","200","ncd_lri"
1991,"label_cause","200","ncd_lri"
1992,"label_cause","200","ncd_lri"
1993,"label_cause","200","ncd_lri"
1994,"label_cause","200","ncd_lri"
1995,"label_cause","200","ncd_lri"
1996,"label_cause","200","ncd_lri"
1997,"label_cause","200","ncd_lri"
1998,"label_cause","200","ncd_lri"
1990,"label_cause","201","ncd_lri"
1991,"label_cause","201","ncd_lri"
1992,"label_cause","201","ncd_lri"
1993,"label_cause","201","ncd_lri"
1994,"label_cause","201","ncd_lri"
1995,"label_cause","201","ncd_lri"
1996,"label_cause","201","ncd_lri"
1997,"label_cause","201","ncd_lri"
1998,"label_cause","201","ncd_lri"
1990,"label_cause","202","ncd_lri"
1991,"label_cause","202","ncd_lri"
1992,"label_cause","202","ncd_lri"
1993,"label_cause","202","ncd_lri"
1994,"label_cause","202","ncd_lri"
1995,"label_cause","202","ncd_lri"
1996,"label_cause","202","ncd_lri"
1997,"label_cause","202","ncd_lri"
1998,"label_cause","202","ncd_lri"
1990,"label_cause","203","ncd_lri"
1991,"label_cause","203","ncd_lri"
1992,"label_cause","203","ncd_lri"
1993,"label_cause","203","ncd_lri"
1994,"label_cause","203","ncd_lri"
1995,"label_cause","203","ncd_lri"
1996,"label_cause","203","ncd_lri"
1997,"label_cause","203","ncd_lri"
1998,"label_cause","203","ncd_lri"
1990,"label_cause","204","ncd_lri"
1991,"label_cause","204","ncd_lri"
1992,"label_cause","204","ncd_lri"
1993,"label_cause","204","ncd_lri"
1994,"label_cause","204","ncd_lri"
1995,"label_cause","204","ncd_lri"
1996,"label_cause","204","ncd_lri"
1997,"label_cause","204","ncd_lri"
